cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,COMUNA,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_planillas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,791
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,2.2.2,Buenos Aires Primero,19002
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,3.3.3,Volvamos Buenos Aires,6075
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,4.4.4,Es Ahora Buenos Aires,14116
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,5.5.5,Evolución,1845
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,1595
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,7.7.7,Principios y Valores,927
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,8.8.8,Unión Porteña Libertaria,423
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,9.9.9,Movimiento Plural,68
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Blanco,BLC,Voto en BLANCO,1301
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,5
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Especial,NUL,Votos NULOS,45
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Especial,REC,Votos RECURRIDOS,10
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,248
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,1412
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,11.11.11,El Movimiento,163
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,12.12.12,Frente Patriota Federal,135
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,13.13.13,La Izquierda en la Ciudad,269
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,14.14.14,La Libertad Avanza,20931
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,15.15.15,Seamos Libres,375
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,16.16.16,Unión del Centro Democrático,1997
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,1111
DIP,CABA.3.8,Localidad,Balvanera,Comuna 03,68832,119,44.2703,99.7757,68951,2025-05-18 20:40:01,Lista,2.2.2,Buenos Aires Primero,9306
